GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
95II15,3199,205,29,45,16,217
95II16,2060,134,28,38,16,139
95II17,2424,207,51,69,34,226
95II18,2155,158,30,32,21,165
95II19,3683,363,55,70,28,368
95II20,2654,167,19,31,10,169
95II21,2301,127,42,41,33,138
95II22,2164,148,32,42,17,159
95II23,2116,119,23,34,11,125
95JJ01,2416,582,207,184,61,610
95JJ02,2315,351,95,100,37,372
95JJ03,2338,286,87,76,37,293
95JJ04,2997,470,132,122,62,489
95JJ05,1771,233,81,70,41,244
95JJ06,2357,245,64,63,33,254
95JJ07,2517,297,83,72,37,327
95JJ08,3175,562,149,145,53,579
95JJ09,1948,688,207,190,93,709
95JJ10,2679,398,100,105,50,406
95JJ11,3639,591,147,161,58,620
95JJ12,2595,291,63,73,26,310
95JJ13,3725,514,107,112,45,534
95JJ14,2242,439,115,95,48,451
95JJ15,1813,280,74,69,26,286
95JJ16,1750,210,53,59,23,217
95JJ17,2360,347,93,103,44,361
95JJ18,1983,276,79,81,48,286
95JJ19,2874,352,77,88,35,374
95JJ20,3968,531,100,104,38,552
95JJ21,2801,334,98,96,48,348
95JJ22,2727,442,89,116,44,456
95KK01,2435,61,18,21,11,69
95KK02,1927,153,35,34,21,155
95KK03,2228,58,16,12,9,58
95KK04,2634,107,19,25,11,111
95KK05,2505,70,14,19,13,71
95KK06,1812,111,27,30,17,115
95KK07,1989,176,26,34,20,183
95KK08,2494,206,48,70,26,222
95KK09,2088,159,38,45,24,165
95KK10,2086,149,39,40,15,161
95KK11,2272,175,50,56,32,190
95KK12,2199,98,16,36,13,107
95KK13,1756,198,36,45,14,208
95KK14,1977,142,39,41,22,150
95KK15,2767,194,38,59,20,202
95KK16,2151,72,27,24,9,76
95LL01,4688,136,37,54,22,148
95LL02,2878,150,39,56,27,168
95LL03,2285,148,47,46,33,163
95LL04,2837,74,26,26,20,84
95LL05,3970,232,33,47,17,247
95LL06,3214,228,44,51,30,232
95LL07,2034,126,44,57,33,131
95LL08,3176,65,17,25,13,73
95LL09,3031,77,23,25,19,78
95LL10,5242,107,32,40,21,115
95LL11,3775,271,52,61,32,284
95LL12,3920,95,35,36,25,99
95LL13,2601,88,39,34,31,97
95LL14,2566,57,20,19,17,63
95LL15,2949,222,50,75,35,227
95LL16,5755,368,90,107,63,379
95LL17,2450,191,44,61,39,198
95LL18,3198,248,57,78,32,259
95LL19,4920,325,69,82,41,337
95LL20,2289,81,26,31,19,88
95LL21,3753,149,44,46,30,153
95LL22,3502,78,15,20,11,78
95LL23,2058,153,41,54,34,162
95LL24,3574,225,59,63,25,242
95LL25,4341,293,51,63,25,312
95LL26,3559,84,19,24,14,92
95MM01,4620,356,57,99,41,364
95MM02,3167,113,27,41,20,116
95MM03,3338,196,51,58,36,202
95MM04,2091,63,21,25,16,68
95MM05,2399,32,13,12,12,40
95MM06,2500,64,16,16,10,66
95MM07,2491,206,63,66,35,215
95MM08,2855,155,38,40,22,158
95MM09,3412,152,33,42,18,157
95MM10,2633,40,10,11,10,41
95MM11,2188,30,11,11,10,31
95MM12,5563,130,46,47,33,132
95MM13,8451,173,38,36,24,178
95MM14,2459,164,56,61,31,175
95MM15,4234,276,25,49,10,289
95MM16,5397,266,61,76,38,288
95MM17,3622,106,26,23,14,106
95MM18,4932,241,60,56,20,253
95MM19,2904,185,40,59,27,196
95MM20,3259,239,58,64,31,250
95MM21,3277,310,62,62,42,316
95MM22,2424,86,15,18,7,86
95MM23,2442,83,31,31,25,87
95MM24,2406,46,14,22,10,46
95MM25,6022,145,45,49,34,148
95MM26,3021,90,25,43,22,94
95MM27,3724,221,71,79,60,230
95MM28,2276,93,28,33,18,103
95MM29,3214,137,41,41,31,142
95MM30,2020,54,16,20,10,58
