GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000066,146,3,14,10,29,14,10,60,6,78,2,7,7,21,7,4,25,5,68,1,7,3,8,7,6,35,1
N00000067,111,2,13,7,39,9,8,31,2,75,1,10,6,25,6,6,20,1,36,1,3,1,14,3,2,11,1
N00000068,183,0,24,10,50,14,13,66,6,104,0,16,3,34,9,8,29,5,79,0,8,7,16,5,5,37,1
N00000069,87,3,10,3,27,9,8,22,5,67,3,8,3,23,5,6,15,4,20,0,2,0,4,4,2,7,1
N00000070,102,0,15,5,19,7,9,40,7,41,0,5,1,11,4,3,14,3,61,0,10,4,8,3,6,26,4
N00000071,123,2,9,5,31,8,11,53,4,69,0,3,0,22,3,8,30,3,54,2,6,5,9,5,3,23,1
N00000072,943,17,116,61,236,94,89,302,28,693,9,95,43,186,61,63,218,18,250,8,21,18,50,33,26,84,10
N00000073,237,7,28,12,57,38,19,69,7,175,6,22,9,42,28,13,49,6,62,1,6,3,15,10,6,20,1
N00000074,593,10,60,39,122,53,72,222,15,469,8,45,33,105,40,60,165,13,124,2,15,6,17,13,12,57,2
N00000075,216,4,15,12,30,12,13,125,5,162,3,7,9,23,9,8,101,2,54,1,8,3,7,3,5,24,3
N00000076,182,1,20,7,50,13,14,74,3,119,1,12,5,41,9,8,42,1,63,0,8,2,9,4,6,32,2
N00000077,141,4,11,11,43,10,17,41,4,79,2,7,5,29,3,10,21,2,62,2,4,6,14,7,7,20,2
N00000078,263,5,33,16,70,31,24,77,7,207,4,28,12,57,23,20,58,5,56,1,5,4,13,8,4,19,2
N00000079,300,21,23,27,52,26,44,93,14,159,10,14,15,32,11,23,46,8,141,11,9,12,20,15,21,47,6
N00000080,225,10,14,15,42,16,44,73,11,116,3,6,6,25,8,27,34,7,109,7,8,9,17,8,17,39,4
N00000081,166,5,14,14,30,12,32,54,5,79,1,6,6,19,6,16,24,1,87,4,8,8,11,6,16,30,4
N00000082,181,13,9,15,36,15,28,59,6,84,6,7,5,16,6,13,28,3,97,7,2,10,20,9,15,31,3
N00000083,358,40,24,34,79,22,44,94,21,198,18,14,20,51,14,20,44,17,160,22,10,14,28,8,24,50,4
N00000084,229,18,27,19,56,17,31,54,7,107,7,13,10,24,10,13,26,4,122,11,14,9,32,7,18,28,3
N00000085,159,5,22,13,23,17,20,55,4,107,4,16,10,16,14,15,29,3,52,1,6,3,7,3,5,26,1
N00000086,189,5,14,34,39,14,19,63,1,120,3,9,26,26,10,10,35,1,69,2,5,8,13,4,9,28,0
N00000087,475,18,43,56,84,30,49,183,12,264,8,27,36,57,11,28,90,7,211,10,16,20,27,19,21,93,5
