GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00003636,341,43,90,142,66,301,29,84,129,59,12,9,0,0,3,28,5,6,13,4
N00003637,380,38,75,166,101,316,23,59,140,94,7,4,3,0,0,57,11,13,26,7
N00003638,441,65,104,203,69,340,26,82,169,63,6,6,0,0,0,95,33,22,34,6
N00003639,312,34,55,158,65,268,8,46,155,59,9,5,4,0,0,35,21,5,3,6
N00003640,319,62,62,143,52,128,10,10,85,23,108,23,24,40,21,83,29,28,18,8
N00003641,470,34,131,199,106,424,22,123,177,102,0,0,0,0,0,46,12,8,22,4
N00003642,341,28,65,172,76,258,14,44,142,58,37,5,12,13,7,46,9,9,17,11
N00003643,416,78,89,181,68,324,44,75,145,60,62,15,14,31,2,30,19,0,5,6
N00003644,301,36,26,161,78,257,21,24,147,65,19,0,1,11,7,25,15,1,3,6
N00003645,488,27,94,239,128,359,18,74,177,90,52,0,1,37,14,77,9,19,25,24
N00003646,546,47,143,287,69,443,17,115,248,63,32,6,2,22,2,71,24,26,17,4
N00003647,678,102,205,274,97,489,35,172,211,71,45,10,3,16,16,144,57,30,47,10
N00003648,464,19,155,190,100,412,9,153,169,81,13,0,0,7,6,39,10,2,14,13
N00003649,448,14,101,255,78,397,14,88,225,70,0,0,0,0,0,51,0,13,30,8
N00003650,414,31,128,173,82,346,22,100,152,72,14,0,9,3,2,54,9,19,18,8
N00003651,316,39,76,123,78,189,18,39,79,53,35,3,3,18,11,92,18,34,26,14
N00003652,642,53,115,322,152,530,24,88,279,139,14,1,2,10,1,98,28,25,33,12
N00003653,351,46,74,159,72,255,6,57,138,54,16,0,0,6,10,80,40,17,15,8
N00003654,250,50,57,91,52,109,12,23,46,28,86,23,17,31,15,55,15,17,14,9
N00003655,208,20,47,87,54,98,7,19,46,26,67,10,14,26,17,43,3,14,15,11
N00003656,514,123,165,175,51,323,39,124,120,40,5,0,5,0,0,186,84,36,55,11
N00003657,382,62,108,140,72,228,13,67,96,52,32,7,10,5,10,122,42,31,39,10
N00003658,524,37,126,268,93,428,25,101,227,75,28,1,3,21,3,68,11,22,20,15
N00003659,367,26,121,130,90,293,16,99,107,71,37,2,11,12,12,37,8,11,11,7
