GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00001517,350,17,333,63,0,63,76,0,76,98,6,92,113,11,102
N00001518,425,20,405,107,3,104,104,2,102,142,7,135,72,8,64
N00001519,283,14,269,75,1,74,93,8,85,64,4,60,51,1,50
N00001520,252,20,232,94,5,89,53,4,49,79,10,69,26,1,25
N00001521,231,19,212,75,5,70,66,2,64,58,7,51,32,5,27
N00001522,271,14,257,77,0,77,61,5,56,87,7,80,46,2,44
N00001523,204,22,182,65,6,59,54,8,46,53,6,47,32,2,30
N00001524,243,34,209,80,13,67,54,8,46,76,9,67,33,4,29
N00001525,225,18,207,65,3,62,71,1,70,42,7,35,47,7,40
N00001526,215,16,199,58,2,56,71,4,67,43,6,37,43,4,39
N00001527,229,16,213,57,1,56,74,2,72,53,8,45,45,5,40
N00001528,231,13,218,46,2,44,86,3,83,66,7,59,33,1,32
N00001529,278,19,259,74,0,74,97,2,95,58,6,52,49,11,38
N00001530,371,27,344,83,1,82,113,5,108,85,10,75,90,11,79
N00001531,306,5,301,126,1,125,94,2,92,59,1,58,27,1,26
N00001532,422,2,420,161,1,160,129,1,128,98,0,98,34,0,34
N00001533,616,14,602,185,2,183,150,2,148,187,4,183,94,6,88
N00001534,313,3,310,94,0,94,81,2,79,93,1,92,45,0,45
N00001535,358,6,352,164,2,162,92,2,90,75,1,74,27,1,26
N00001536,380,2,378,117,0,117,93,1,92,98,0,98,72,1,71
N00001537,340,1,339,125,0,125,81,1,80,89,0,89,45,0,45
N00001538,371,3,368,117,1,116,90,2,88,92,0,92,72,0,72
N00001539,328,2,326,135,0,135,92,1,91,73,1,72,28,0,28
N00001540,397,6,391,166,4,162,94,1,93,104,1,103,33,0,33
N00001541,281,5,276,101,1,100,60,0,60,75,3,72,45,1,44
N00001542,315,3,312,108,0,108,74,1,73,78,1,77,55,1,54
N00001543,350,3,347,127,0,127,92,0,92,73,2,71,58,1,57
N00001544,272,5,267,87,0,87,70,2,68,69,1,68,46,2,44
N00001545,337,7,330,117,0,117,105,4,101,85,3,82,30,0,30
N00001546,334,9,325,153,0,153,98,4,94,63,5,58,20,0,20
N00001547,300,9,291,98,0,98,119,5,114,65,4,61,18,0,18
N00001548,313,16,297,72,4,68,120,6,114,81,4,77,40,2,38
N00001549,354,4,350,134,1,133,122,3,119,78,0,78,20,0,20
N00001550,207,2,205,35,0,35,58,1,57,62,0,62,52,1,51
N00001551,377,9,368,134,3,131,114,4,110,97,2,95,32,0,32
N00001552,366,10,356,120,2,118,84,0,84,107,6,101,55,2,53
N00001553,254,7,247,54,1,53,82,1,81,62,2,60,56,3,53
N00001554,309,9,300,89,1,88,98,3,95,79,2,77,43,3,40
N00001555,258,1,257,94,0,94,74,1,73,61,0,61,29,0,29
N00001556,205,7,198,61,4,57,66,2,64,54,1,53,24,0,24
N00001557,255,0,255,97,0,97,63,0,63,59,0,59,36,0,36
N00001558,240,6,234,92,1,91,92,5,87,47,0,47,9,0,9
N00001559,321,11,310,79,1,78,94,5,89,95,5,90,53,0,53
N00001560,246,5,241,85,2,83,101,1,100,45,2,43,15,0,15
N00001561,206,14,192,51,3,48,81,4,77,57,4,53,17,3,14
N00001562,210,6,204,60,1,59,83,1,82,50,2,48,17,2,15
N00001563,166,3,163,28,0,28,28,1,27,39,1,38,71,1,70
N00001564,330,1,329,123,0,123,97,0,97,70,1,69,40,0,40
N00001565,337,4,333,110,1,109,96,2,94,78,1,77,53,0,53
N00001566,367,3,364,139,0,139,102,2,100,82,1,81,44,0,44
N00001567,235,8,227,89,1,88,64,1,63,46,4,42,36,2,34
N00001568,283,0,283,119,0,119,87,0,87,53,0,53,24,0,24
N00001569,313,6,307,95,2,93,122,1,121,56,1,55,40,2,38
N00001570,1065,12,1053,510,0,510,308,5,303,197,4,193,50,3,47
N00001571,475,3,472,159,0,159,105,2,103,101,0,101,110,1,109
N00001572,338,1,337,145,0,145,71,0,71,102,1,101,20,0,20
N00001573,419,6,413,188,0,188,117,0,117,93,5,88,21,1,20
N00001574,289,3,286,103,1,102,80,2,78,76,0,76,30,0,30
N00001575,301,7,294,112,2,110,87,2,85,78,3,75,24,0,24
N00001576,357,7,350,141,1,140,76,2,74,111,4,107,29,0,29
N00001577,348,2,346,142,0,142,94,1,93,85,1,84,27,0,27
