nameA,personA,yearsA,nameB,personB,yearsB,tokenOverlap,signal
Pol Bainin O Foighil,112424,1997-1997,Pol O'Foighil,112573,1984-1984,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Timothy Joseph O'Sullivan,104098,1953-1953,Timothy O'Sullivan,110845,1923-1973,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
(Sir) Norman Stronge,103942,1945-1962,Norman Stronge,103948,1938-1938,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Norman Stronge,103948,1938-1938,Sir Norman Stronge,103942,1965-1965,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Capt Herbert Dixon,108801,1918-1918,Herbert Dixon,103939,1921-1938,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
A. J. Gillespie,105913,1945-1945,J. Gillespie,107364,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Hugh J Simpson,105950,1977-1977,Hugh Simpson,102560,1973-1981,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Francis Stewart,107078,1973-1973,Joseph Francis Stewart,103894,1929-1962,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Joseph Francis Stewart,103894,1929-1962,Joseph Stewart,105588,1934-1934,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
W. Clarke,102808,1938-1973,W. J. Clarke,107814,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Dr Vincent White,101863,1918-1923,Vincent White,100797,1922-1933,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Mary M White,110012,2016-2016,Mary White,63279,1997-2011,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Ada English,108589,1922-1922,Dr Ada English,109094,1921-1921,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Dr James McKee,109097,1918-1918,James McKee,104687,1924-1924,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Frank Millar,40304,1973-1989,Frank Millar Jr,89297,1984-1984,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
I. Wilson,107901,1973-1973,W. I. Wilson,104140,1929-1938,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Charles Wilson,104980,1933-1933,John Wilson,100976,1973-2019,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert Nichol Wilson,104104,1945-1949,Robert Wilson,100056,1981-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sir Wilson Hungerford,103906,1933-1945,Wilson Hungerford,106135,1929-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Adrian James Kennedy,105928,1969-1969,James Kennedy,103954,1945-2002,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James J Kennedy,109489,1965-1965,James Kennedy,103954,1945-2002,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Aidan O'Connor,112504,1997-1997,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Aisling O'Neill,108606,2016-2016,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Alasdair O'Hara,106508,2011-2011,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Anthony O'Connor,103094,2002-2004,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Art O'Connor,101070,1918-1927,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Arthur O'Connor,108705,1922-1922,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Arthur O'Neill,106682,1973-1973,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Batt O'Connor,100642,1923-1933,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Bernard O'Neill,104331,1933-1933,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Bernie O'Hara,103113,2016-2020,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
