GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00003807,111,20,14,2,5,2,20,4,22,18,4,10,3,1,1,2,18.02,12.61,1.80,4.50,1.80,18.02,3.60,19.82,16.22,3.60,9.01,60.00,20.00,20.00,40.00
N00003808,113,27,31,4,4,3,11,6,14,9,4,29,1,2,0,2,23.89,27.43,3.54,3.54,2.65,9.73,5.31,12.39,7.96,3.54,25.66,25.00,50.00,0,50.00
N00003809,131,32,32,8,3,4,20,8,14,4,6,40,0,2,0,1,24.43,24.43,6.11,2.29,3.05,15.27,6.11,10.69,3.05,4.58,30.53,0,66.67,0,33.33
N00003810,74,10,19,2,2,0,24,1,2,12,2,8,1,0,0,1,13.51,25.68,2.70,2.70,0,32.43,1.35,2.70,16.22,2.70,10.81,50.00,0,0,50.00
N00003811,143,29,36,7,4,5,32,6,9,13,2,24,2,1,2,1,20.28,25.17,4.90,2.80,3.50,22.38,4.20,6.29,9.09,1.40,16.78,50.00,25.00,50.00,25.00
N00003812,118,22,30,4,2,2,9,9,22,7,11,19,2,0,1,0,18.64,25.42,3.39,1.69,1.69,7.63,7.63,18.64,5.93,9.32,16.10,100.00,0,50.00,0
N00003813,119,19,36,3,7,5,19,6,15,6,3,13,2,1,1,2,15.97,30.25,2.52,5.88,4.20,15.97,5.04,12.61,5.04,2.52,10.92,28.57,14.29,14.29,28.57
N00003814,137,22,39,2,0,4,24,11,19,13,3,18,0,0,0,0,16.06,28.47,1.46,0,2.92,17.52,8.03,13.87,9.49,2.19,13.14,0,0,0,0
N00003815,210,49,62,6,7,10,4,13,32,17,10,35,4,1,1,5,23.33,29.52,2.86,3.33,4.76,1.90,6.19,15.24,8.10,4.76,16.67,57.14,14.29,14.29,71.43
N00003816,139,27,30,2,8,5,19,10,17,18,3,11,3,0,2,5,19.42,21.58,1.44,5.76,3.60,13.67,7.19,12.23,12.95,2.16,7.91,37.50,0,25.00,62.50
N00003817,171,35,43,11,6,6,16,14,24,11,5,42,2,0,2,0,20.47,25.15,6.43,3.51,3.51,9.36,8.19,14.04,6.43,2.92,24.56,33.33,0,33.33,0
N00003818,178,37,49,7,3,3,20,5,20,21,13,42,0,0,0,1,20.79,27.53,3.93,1.69,1.69,11.24,2.81,11.24,11.80,7.30,23.60,0,0,0,33.33
N00003819,140,27,38,9,4,4,24,7,10,13,4,37,2,0,0,2,19.29,27.14,6.43,2.86,2.86,17.14,5.00,7.14,9.29,2.86,26.43,50.00,0,0,50.00
N00003820,199,49,51,6,2,3,29,13,23,16,7,33,0,1,0,1,24.62,25.63,3.02,1.01,1.51,14.57,6.53,11.56,8.04,3.52,16.58,0,50.00,0,50.00
N00003821,129,33,30,8,2,7,18,5,12,7,7,29,1,1,1,1,25.58,23.26,6.20,1.55,5.43,13.95,3.88,9.30,5.43,5.43,22.48,50.00,50.00,50.00,50.00
N00003822,180,35,49,13,6,5,27,14,16,8,7,40,1,0,1,3,19.44,27.22,7.22,3.33,2.78,15.00,7.78,8.89,4.44,3.89,22.22,16.67,0,16.67,50.00
N00003823,205,44,59,20,7,9,11,16,20,13,6,37,1,2,0,3,21.46,28.78,9.76,3.41,4.39,5.37,7.80,9.76,6.34,2.93,18.05,14.29,28.57,0,42.86
N00003824,245,51,69,17,7,12,19,14,31,19,6,37,4,0,2,1,20.82,28.16,6.94,2.86,4.90,7.76,5.71,12.65,7.76,2.45,15.10,57.14,0,28.57,14.29
N00003825,323,71,88,17,9,11,36,22,36,29,4,48,1,2,1,5,21.98,27.24,5.26,2.79,3.41,11.15,6.81,11.15,8.98,1.24,14.86,11.11,22.22,11.11,55.56
N00003826,222,54,57,12,2,17,21,20,26,7,6,52,2,0,2,0,24.32,25.68,5.41,0.90,7.66,9.46,9.01,11.71,3.15,2.70,23.42,100.00,0,100.00,0
N00003827,359,90,100,18,9,15,37,23,36,23,8,73,2,4,0,4,25.07,27.86,5.01,2.51,4.18,10.31,6.41,10.03,6.41,2.23,20.33,22.22,44.44,0,44.44
N00003828,161,48,48,10,5,5,18,7,9,9,2,44,1,1,1,3,29.81,29.81,6.21,3.11,3.11,11.18,4.35,5.59,5.59,1.24,27.33,20.00,20.00,20.00,60.00
N00003829,157,44,33,11,5,5,15,16,19,6,3,31,0,2,0,1,28.03,21.02,7.01,3.18,3.18,9.55,10.19,12.10,3.82,1.91,19.75,0,40.00,0,20.00
N00003830,179,34,50,9,7,6,19,12,22,14,6,34,4,1,3,2,18.99,27.93,5.03,3.91,3.35,10.61,6.70,12.29,7.82,3.35,18.99,57.14,14.29,42.86,28.57
N00003831,100,25,30,4,0,0,11,5,9,8,8,18,0,0,0,0,25.00,30.00,4.00,0,0,11.00,5.00,9.00,8.00,8.00,18.00,0,0,0,0
N00003832,175,48,41,8,6,3,18,11,26,11,3,25,0,1,2,2,27.43,23.43,4.57,3.43,1.71,10.29,6.29,14.86,6.29,1.71,14.29,0,16.67,33.33,33.33
N00003833,174,30,41,1,5,9,19,8,21,30,10,26,2,0,2,2,17.24,23.56,0.57,2.87,5.17,10.92,4.60,12.07,17.24,5.75,14.94,40.00,0,40.00,40.00
N00003834,153,27,26,8,3,3,17,15,22,16,16,12,0,0,0,3,17.65,16.99,5.23,1.96,1.96,11.11,9.80,14.38,10.46,10.46,7.84,0,0,0,100.00
N00003835,197,31,51,10,9,2,40,18,16,10,10,41,3,3,1,6,15.74,25.89,5.08,4.57,1.02,20.30,9.14,8.12,5.08,5.08,20.81,33.33,33.33,11.11,66.67
N00003836,131,23,39,7,4,7,22,5,12,7,5,31,1,1,1,2,17.56,29.77,5.34,3.05,5.34,16.79,3.82,9.16,5.34,3.82,23.66,25.00,25.00,25.00,50.00
N00003837,127,32,35,4,4,0,5,17,15,8,7,26,2,1,0,1,25.20,27.56,3.15,3.15,0,3.94,13.39,11.81,6.30,5.51,20.47,50.00,25.00,0,25.00
N00003838,146,19,48,15,9,4,15,7,10,9,10,29,0,3,0,7,13.01,32.88,10.27,6.16,2.74,10.27,4.79,6.85,6.16,6.85,19.86,0,33.33,0,77.78
N00003839,138,21,34,15,3,6,16,13,18,7,5,43,0,1,0,0,15.22,24.64,10.87,2.17,4.35,11.59,9.42,13.04,5.07,3.62,31.16,0,33.33,0,0
