GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N00000104,130,112,2,2,14,86.15,1.54,1.54,10.77
N00000105,148,137,3,0,8,92.57,2.03,0,5.41
N00000106,103,100,1,0,2,97.09,0.97,0,1.94
N00000107,120,117,0,1,2,97.50,0,0.83,1.67
N00000108,110,104,1,0,5,94.55,0.91,0,4.55
N00000109,229,204,4,1,20,89.08,1.75,0.44,8.73
N00000110,122,111,3,2,6,90.98,2.46,1.64,4.92
N00000111,136,131,3,0,2,96.32,2.21,0,1.47
N00000112,143,139,1,1,2,97.20,0.70,0.70,1.40
N00000113,122,117,0,1,4,95.90,0,0.82,3.28
N00000114,121,116,2,1,2,95.87,1.65,0.83,1.65
N00000115,128,125,1,1,1,97.66,0.78,0.78,0.78
N00000116,119,114,1,0,4,95.80,0.84,0,3.36
N00000117,86,83,0,0,3,96.51,0,0,3.49
N00000118,143,140,0,1,2,97.90,0,0.70,1.40
N00000119,125,123,1,0,1,98.40,0.80,0,0.80
N00000120,127,125,1,0,1,98.43,0.79,0,0.79
N00000121,124,119,3,0,2,95.97,2.42,0,1.61
N00000122,199,195,3,0,1,97.99,1.51,0,0.50
N00000123,143,140,3,0,0,97.90,2.10,0,0
N00000124,143,141,1,0,1,98.60,0.70,0,0.70
