GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000130,404,24,0,66,1,202,65,32,1,1,11,1,403,65,1,1,5.94,0,16.34,0.25,50.00,16.09,7.92,0.25,0.25,2.72,0.25,16.13,100.00
N00000131,280,34,0,37,0,141,36,21,0,3,6,2,276,35,4,2,12.14,0,13.21,0,50.36,12.86,7.50,0,1.07,2.14,0.71,12.68,50.00
N00000132,248,28,0,27,1,128,40,14,1,0,3,6,245,27,3,0,11.29,0,10.89,0.40,51.61,16.13,5.65,0.40,0,1.21,2.42,11.02,0
N00000133,179,8,0,18,0,108,24,7,0,1,10,3,169,17,10,1,4.47,0,10.06,0,60.34,13.41,3.91,0,0.56,5.59,1.68,10.06,10.00
N00000134,308,27,1,41,0,179,30,15,2,0,13,0,298,41,10,1,8.77,0.32,13.31,0,58.12,9.74,4.87,0.65,0,4.22,0,13.76,10.00
N00000135,192,13,0,20,1,88,32,17,1,0,19,1,177,17,15,3,6.77,0,10.42,0.52,45.83,16.67,8.85,0.52,0,9.90,0.52,9.60,20.00
N00000136,373,29,0,55,2,190,51,22,0,0,19,5,368,53,5,2,7.77,0,14.75,0.54,50.94,13.67,5.90,0,0,5.09,1.34,14.40,40.00
N00000137,221,19,1,37,0,101,35,19,2,0,4,3,213,35,8,3,8.60,0.45,16.74,0,45.70,15.84,8.60,0.90,0,1.81,1.36,16.43,37.50
N00000138,368,21,0,60,3,180,67,24,1,0,10,2,368,60,0,0,5.71,0,16.30,0.82,48.91,18.21,6.52,0.27,0,2.72,0.54,16.30,0
N00000139,157,15,1,11,1,79,18,13,1,0,18,0,141,8,12,4,9.55,0.64,7.01,0.64,50.32,11.46,8.28,0.64,0,11.46,0,5.67,33.33
N00000140,172,18,1,16,1,84,17,16,0,2,16,1,158,15,14,2,10.47,0.58,9.30,0.58,48.84,9.88,9.30,0,1.16,9.30,0.58,9.49,14.29
N00000141,219,16,1,25,1,72,24,14,3,1,61,1,174,17,45,9,7.31,0.46,11.42,0.46,32.88,10.96,6.39,1.37,0.46,27.85,0.46,9.77,20.00
N00000142,105,16,1,7,0,44,8,7,1,0,21,0,87,7,18,1,15.24,0.95,6.67,0,41.90,7.62,6.67,0.95,0,20.00,0,8.05,5.56
N00000143,106,7,0,7,1,33,15,6,3,2,32,0,74,3,32,4,6.60,0,6.60,0.94,31.13,14.15,5.66,2.83,1.89,30.19,0,4.05,12.50
N00000144,119,6,3,11,0,44,17,8,1,0,28,1,96,10,23,4,5.04,2.52,9.24,0,36.97,14.29,6.72,0.84,0,23.53,0.84,10.42,17.39
N00000145,47,7,0,7,0,20,5,1,1,0,6,0,36,4,11,3,14.89,0,14.89,0,42.55,10.64,2.13,2.13,0,12.77,0,11.11,27.27
N00000146,170,27,1,11,2,81,31,9,0,1,7,0,166,12,4,0,15.88,0.59,6.47,1.18,47.65,18.24,5.29,0,0.59,4.12,0,7.23,0
