GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000193,291,16,123,37,4,27,10,50,24,5.50,42.27,12.71,1.37,9.28,3.44,17.18,8.25
N00000194,255,13,121,28,18,17,0,39,19,5.10,47.45,10.98,7.06,6.67,0,15.29,7.45
N00000195,246,5,114,43,23,14,3,25,19,2.03,46.34,17.48,9.35,5.69,1.22,10.16,7.72
N00000196,237,14,107,43,9,13,4,34,13,5.91,45.15,18.14,3.80,5.49,1.69,14.35,5.49
N00000197,326,20,131,52,24,34,2,57,6,6.13,40.18,15.95,7.36,10.43,0.61,17.48,1.84
N00000198,287,9,148,44,12,19,0,40,15,3.14,51.57,15.33,4.18,6.62,0,13.94,5.23
N00000199,350,16,177,45,15,15,8,52,22,4.57,50.57,12.86,4.29,4.29,2.29,14.86,6.29
N00000200,331,8,180,50,6,31,1,49,6,2.42,54.38,15.11,1.81,9.37,0.30,14.80,1.81
N00000201,294,0,132,38,11,50,2,47,14,0,44.90,12.93,3.74,17.01,0.68,15.99,4.76
N00000202,304,10,150,55,13,21,0,48,7,3.29,49.34,18.09,4.28,6.91,0,15.79,2.30
N00000203,334,22,135,65,8,24,1,63,16,6.59,40.42,19.46,2.40,7.19,0.30,18.86,4.79
N00000204,393,12,185,49,21,21,3,71,31,3.05,47.07,12.47,5.34,5.34,0.76,18.07,7.89
N00000205,303,25,144,38,17,15,2,54,8,8.25,47.52,12.54,5.61,4.95,0.66,17.82,2.64
N00000206,390,18,164,63,10,27,1,80,27,4.62,42.05,16.15,2.56,6.92,0.26,20.51,6.92
N00000207,253,8,100,29,12,25,0,64,15,3.16,39.53,11.46,4.74,9.88,0,25.30,5.93
N00000208,316,4,167,64,8,22,2,42,7,1.27,52.85,20.25,2.53,6.96,0.63,13.29,2.22
N00000209,356,8,177,50,7,32,1,71,10,2.25,49.72,14.04,1.97,8.99,0.28,19.94,2.81
N00000210,383,31,130,77,25,20,6,74,20,8.09,33.94,20.10,6.53,5.22,1.57,19.32,5.22
N00000211,528,36,156,143,44,19,8,91,31,6.82,29.55,27.08,8.33,3.60,1.52,17.23,5.87
N00000212,175,10,42,40,9,20,3,40,11,5.71,24.00,22.86,5.14,11.43,1.71,22.86,6.29
N00000213,281,18,88,61,23,8,5,56,22,6.41,31.32,21.71,8.19,2.85,1.78,19.93,7.83
N00000214,323,17,117,61,12,19,1,69,27,5.26,36.22,18.89,3.72,5.88,0.31,21.36,8.36
N00000215,400,20,139,72,35,24,6,85,19,5.00,34.75,18.00,8.75,6.00,1.50,21.25,4.75
N00000216,397,18,188,47,17,17,5,80,25,4.53,47.36,11.84,4.28,4.28,1.26,20.15,6.30
N00000217,479,28,173,103,42,26,4,61,42,5.85,36.12,21.50,8.77,5.43,0.84,12.73,8.77
N00000218,361,14,145,67,30,39,2,58,6,3.88,40.17,18.56,8.31,10.80,0.55,16.07,1.66
N00000219,245,13,88,60,19,8,10,28,19,5.31,35.92,24.49,7.76,3.27,4.08,11.43,7.76
N00000220,284,1,121,63,12,20,1,55,11,0.35,42.61,22.18,4.23,7.04,0.35,19.37,3.87
N00000221,262,3,109,62,9,13,1,41,24,1.15,41.60,23.66,3.44,4.96,0.38,15.65,9.16
N00000222,298,7,128,73,19,19,4,41,7,2.35,42.95,24.50,6.38,6.38,1.34,13.76,2.35
N00000223,319,15,125,84,9,23,0,51,12,4.70,39.18,26.33,2.82,7.21,0,15.99,3.76
N00000224,243,10,82,36,21,14,6,51,23,4.12,33.74,14.81,8.64,5.76,2.47,20.99,9.47
N00000225,147,5,57,35,10,5,1,25,9,3.40,38.78,23.81,6.80,3.40,0.68,17.01,6.12
N00000226,261,13,79,51,14,34,2,46,22,4.98,30.27,19.54,5.36,13.03,0.77,17.62,8.43
N00000227,195,10,73,40,13,10,4,39,6,5.13,37.44,20.51,6.67,5.13,2.05,20.00,3.08
N00000228,306,4,98,113,24,15,1,34,17,1.31,32.03,36.93,7.84,4.90,0.33,11.11,5.56
N00000229,395,17,145,94,12,34,7,68,18,4.30,36.71,23.80,3.04,8.61,1.77,17.22,4.56
N00000230,293,18,87,45,20,31,2,70,20,6.14,29.69,15.36,6.83,10.58,0.68,23.89,6.83
N00000231,324,17,114,51,13,10,4,89,26,5.25,35.19,15.74,4.01,3.09,1.23,27.47,8.02
N00000232,309,36,88,46,10,37,14,56,22,11.65,28.48,14.89,3.24,11.97,4.53,18.12,7.12
N00000233,258,11,87,40,11,12,7,67,23,4.26,33.72,15.50,4.26,4.65,2.71,25.97,8.91
N00000234,256,44,74,33,7,17,10,44,27,17.19,28.91,12.89,2.73,6.64,3.91,17.19,10.55
N00000235,323,27,124,53,9,22,2,55,31,8.36,38.39,16.41,2.79,6.81,0.62,17.03,9.60
N00000236,291,13,96,50,11,33,3,60,25,4.47,32.99,17.18,3.78,11.34,1.03,20.62,8.59
N00000237,416,18,141,74,24,39,9,92,19,4.33,33.89,17.79,5.77,9.38,2.16,22.12,4.57
N00000238,306,12,150,56,12,36,2,37,1,3.92,49.02,18.30,3.92,11.76,0.65,12.09,0.33
N00000239,254,1,91,42,12,16,2,67,23,0.39,35.83,16.54,4.72,6.30,0.79,26.38,9.06
N00000240,354,13,125,57,19,33,6,73,28,3.67,35.31,16.10,5.37,9.32,1.69,20.62,7.91
N00000241,424,38,131,86,21,38,5,85,20,8.96,30.90,20.28,4.95,8.96,1.18,20.05,4.72
