GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95GG13S1,1333,1159,39,17,4,7,19,29,59,86.95,2.93,1.28,0.30,0.53,1.43,2.18,4.43
95GG13S2,1752,1587,55,15,2,49,8,8,28,90.58,3.14,0.86,0.11,2.80,0.46,0.46,1.60
95GG13S3,1637,1508,45,6,2,18,12,24,22,92.12,2.75,0.37,0.12,1.10,0.73,1.47,1.34
95GG14S1,1617,1516,43,10,1,20,7,0,20,93.75,2.66,0.62,0.06,1.24,0.43,0,1.24
95GG14S2,1597,1446,46,10,0,65,4,6,20,90.54,2.88,0.63,0,4.07,0.25,0.38,1.25
95GG14S3,1606,1505,31,5,0,15,2,21,27,93.71,1.93,0.31,0,0.93,0.12,1.31,1.68
95GG15S1,1959,1789,63,18,3,46,6,7,27,91.32,3.22,0.92,0.15,2.35,0.31,0.36,1.38
95GG15S2,2052,1791,92,16,5,38,7,28,75,87.28,4.48,0.78,0.24,1.85,0.34,1.36,3.65
95GG15S3,1909,1687,78,14,0,28,6,34,62,88.37,4.09,0.73,0,1.47,0.31,1.78,3.25
95GG16S1,1996,1712,65,9,2,56,16,50,86,85.77,3.26,0.45,0.10,2.81,0.80,2.51,4.31
95GG16S2,1970,1745,61,12,2,63,22,24,41,88.58,3.10,0.61,0.10,3.20,1.12,1.22,2.08
95GG16S3,1486,1294,47,18,0,36,15,18,58,87.08,3.16,1.21,0,2.42,1.01,1.21,3.90
95GG17S1,2031,1872,46,7,4,34,11,24,33,92.17,2.26,0.34,0.20,1.67,0.54,1.18,1.62
95GG17S2,1595,1501,25,4,2,29,7,4,23,94.11,1.57,0.25,0.13,1.82,0.44,0.25,1.44
95GG17S3,1704,1584,38,14,0,13,8,27,20,92.96,2.23,0.82,0,0.76,0.47,1.58,1.17
95GG18S1,2553,2415,30,7,0,33,6,17,45,94.59,1.18,0.27,0,1.29,0.24,0.67,1.76
95GG18S2,2422,2162,31,1,0,64,8,64,92,89.27,1.28,0.04,0,2.64,0.33,2.64,3.80
95GG19S1,2019,1925,41,17,5,2,5,10,14,95.34,2.03,0.84,0.25,0.10,0.25,0.50,0.69
95GG19S2,2563,2395,58,25,0,8,13,24,40,93.45,2.26,0.98,0,0.31,0.51,0.94,1.56
95GG20S1,2807,2263,101,55,8,31,28,169,152,80.62,3.60,1.96,0.29,1.10,1.00,6.02,5.42
95GG20S2,2094,1849,52,22,2,12,12,74,71,88.30,2.48,1.05,0.10,0.57,0.57,3.53,3.39
