Geography,GeographyCode,AllHouseholds
Holywood_and_Clandeboye_E,N21000799,794
Holywood_and_Clandeboye_F,N21000800,831
Holywood_and_Clandeboye_G,N21000801,721
Holywood_and_Clandeboye_H,N21000802,1201
Holywood_and_Clandeboye_J,N21000803,725
Holywood_and_Clandeboye_K,N21000804,859
Holywood_and_Clandeboye_L,N21000805,1141
Bangor_West_A,N21000806,1282
Bangor_West_B,N21000807,586
Bangor_West_C,N21000808,834
Bangor_West_D,N21000809,957
Bangor_West_E,N21000810,950
Bangor_West_F,N21000811,1063
Bangor_West_G,N21000812,970
Bangor_West_H,N21000813,1187
Bangor_West_J,N21000814,947
Bangor_Central_A,N21000815,725
Bangor_Central_B,N21000816,963
Bangor_Central_C,N21000817,898
Bangor_Central_D,N21000818,601
Bangor_Central_E,N21000819,964
Bangor_Central_F,N21000820,775
Bangor_Central_G,N21000821,713
Bangor_Central_H,N21000822,704
Bangor_Central_J,N21000823,970
Bangor_Central_K,N21000824,953
Bangor_Central_L,N21000825,964
Bangor_Central_N,N21000826,798
Bangor_Central_P,N21000827,948
Bangor_Central_Q,N21000828,975
Bangor_East_and_Donaghadee_A,N21000829,620
Bangor_East_and_Donaghadee_B,N21000830,1170
Bangor_East_and_Donaghadee_C,N21000831,830
Bangor_East_and_Donaghadee_D,N21000832,510
Bangor_East_and_Donaghadee_E,N21000833,646
Bangor_East_and_Donaghadee_F,N21000834,942
Bangor_East_and_Donaghadee_G,N21000835,1281
Bangor_East_and_Donaghadee_H,N21000836,1198
Bangor_East_and_Donaghadee_J,N21000837,1300
Bangor_East_and_Donaghadee_K,N21000838,1196
Ards_Peninsula_A,N21000839,1087
Ards_Peninsula_B,N21000840,618
Ards_Peninsula_C,N21000841,913
Ards_Peninsula_D,N21000842,1217
Ards_Peninsula_E,N21000843,909
Ards_Peninsula_F,N21000844,856
Ards_Peninsula_G,N21000845,613
Ards_Peninsula_H,N21000846,754
Ards_Peninsula_J,N21000847,897
Ards_Peninsula_K,N21000848,567
Ards_Peninsula_L,N21000849,856
Ards_Peninsula_N,N21000850,1023
