GeographyCode,LC2211NI0001,LC2211NI0002,LC2211NI0003,LC2211NI0004,LC2211NI0005,LC2211NI0006,LC2211NI0007,LC2211NI0008,LC2211NI0009,LC2211NI0010,LC2211NI0011,LC2211NI0012
95NN04,2755,2398,259,98,356,343,6,7,2399,2055,253,91
95NN05,2381,1267,971,143,154,137,10,7,2227,1130,961,136
95NN06,3337,2908,344,85,705,687,7,11,2632,2221,337,74
95NN07,3096,2796,213,87,384,373,8,3,2712,2423,205,84
95NN08,3166,1749,1231,186,270,227,33,10,2896,1522,1198,176
95NN09,2921,933,1799,189,147,125,18,4,2774,808,1781,185
95NN10,3090,2018,883,189,448,416,22,10,2642,1602,861,179
95NN11,3711,3010,549,152,414,395,14,5,3297,2615,535,147
95NN12,2718,1638,947,133,330,304,19,7,2388,1334,928,126
95NN13,2942,1140,1591,211,209,169,33,7,2733,971,1558,204
95NN14,3388,2362,778,248,391,351,23,17,2997,2011,755,231
95NN15,2867,1036,1622,209,135,103,27,5,2732,933,1595,204
95NN16,3181,805,2154,222,148,112,28,8,3033,693,2126,214
95NN17,2163,1581,479,103,252,243,5,4,1911,1338,474,99
95NN18,2613,1918,569,126,346,327,14,5,2267,1591,555,121
95NN19,3278,863,2165,250,166,133,26,7,3112,730,2139,243
95NN20,2885,1613,1140,132,282,256,19,7,2603,1357,1121,125
95NN21,2593,1835,638,120,350,333,10,7,2243,1502,628,113
95NN22,2584,2111,368,105,318,296,18,4,2266,1815,350,101
95NN23,3260,2649,510,101,625,611,6,8,2635,2038,504,93
95OO01,2458,1966,459,33,525,521,3,1,1933,1445,456,32
95OO02,2088,1231,821,36,387,381,6,0,1701,850,815,36
95OO03,2514,962,1498,54,279,250,27,2,2235,712,1471,52
95OO04,2401,1733,632,36,506,493,10,3,1895,1240,622,33
95OO05,2564,2078,379,107,463,446,13,4,2101,1632,366,103
95OO06,2731,1613,1038,80,462,447,14,1,2269,1166,1024,79
95OO07,2401,1247,1084,70,407,387,17,3,1994,860,1067,67
95OO08,2601,1490,1040,71,438,408,24,6,2163,1082,1016,65
95OO09,2162,1377,755,30,472,444,25,3,1690,933,730,27
95OO10,3329,3100,193,36,980,964,10,6,2349,2136,183,30
95OO11,2363,2186,137,40,599,591,3,5,1764,1595,134,35
95OO12,2665,1926,692,47,595,580,11,4,2070,1346,681,43
95OO13,2584,1057,1357,170,212,175,24,13,2372,882,1333,157
95OO14,2466,1733,672,61,538,523,9,6,1928,1210,663,55
95OO15,2239,1906,266,67,443,427,9,7,1796,1479,257,60
95OO16,2025,476,1483,66,87,60,19,8,1938,416,1464,58
95OO17,2577,521,1965,91,144,122,17,5,2433,399,1948,86
95OO18,2737,1494,1125,118,386,364,11,11,2351,1130,1114,107
95OO19,2843,1762,1000,81,481,463,12,6,2362,1299,988,75
95OO20,2094,595,1414,85,189,156,27,6,1905,439,1387,79
95OO21,2260,1953,233,74,517,508,7,2,1743,1445,226,72
95OO22,2973,2828,130,15,940,932,5,3,2033,1896,125,12
95PP01,2478,531,1871,76,129,95,29,5,2349,436,1842,71
95PP02,2465,2091,309,65,504,479,18,7,1961,1612,291,58
95PP03,2452,1768,619,65,405,377,26,2,2047,1391,593,63
95PP04,3048,1670,1291,87,362,330,28,4,2686,1340,1263,83
95PP05,2282,964,1269,49,198,175,20,3,2084,789,1249,46
95PP06,3714,1932,1606,176,432,395,30,7,3282,1537,1576,169
95PP07,2684,1643,936,105,339,314,22,3,2345,1329,914,102
95PP08,2543,2088,410,45,442,428,8,6,2101,1660,402,39
95PP09,1646,1327,274,45,197,189,4,4,1449,1138,270,41
95PP10,2293,1790,469,34,416,395,20,1,1877,1395,449,33
95PP11,2529,1817,624,88,348,327,16,5,2181,1490,608,83
95PP12,2536,1715,788,33,436,416,18,2,2100,1299,770,31
95PP13,2455,1829,569,57,301,284,17,0,2154,1545,552,57
95PP14,3503,1327,2077,99,276,220,55,1,3227,1107,2022,98
95PP15,3041,953,1981,107,203,170,22,11,2838,783,1959,96
95PP16,1848,576,1210,62,124,104,13,7,1724,472,1197,55
95PP17,2461,1850,570,41,395,365,25,5,2066,1485,545,36
95PP18,3012,1281,1647,84,306,267,36,3,2706,1014,1611,81
95PP19,2385,1849,503,33,467,435,31,1,1918,1414,472,32
95PP20,2981,1713,1098,170,393,359,31,3,2588,1354,1067,167
95PP21,2075,1733,315,27,475,458,15,2,1600,1275,300,25
95PP22,2359,1334,905,120,347,326,14,7,2012,1008,891,113
95PP23,2492,1226,1219,47,271,255,13,3,2221,971,1206,44
95QQ01,1428,341,1002,85,71,38,32,1,1357,303,970,84
95QQ02,2473,112,2159,202,48,22,23,3,2425,90,2136,199
95QQ03,1047,234,745,68,35,18,12,5,1012,216,733,63
95QQ04,1583,423,1068,92,57,35,16,6,1526,388,1052,86
95QQ05,2796,787,1863,146,143,115,19,9,2653,672,1844,137
95QQ06,1966,1516,417,33,261,246,13,2,1705,1270,404,31
95QQ07,1768,525,1132,111,90,62,27,1,1678,463,1105,110
95QQ08,1416,379,957,80,46,36,10,0,1370,343,947,80
95QQ09,1875,649,1118,108,102,78,19,5,1773,571,1099,103
