GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95LL14,2651,2350,42,7,17,18,259,38,1077,953,15,2,5,8,109,16,752,651,17,4,6,7,84,9,822,746,10,1,6,3,66,13
95LL15,3048,193,2269,573,968,728,586,327,1267,90,900,219,322,359,277,166,1024,78,762,203,349,210,184,110,757,25,607,151,297,159,125,51
95LL16,6107,1247,3641,897,1528,1216,1219,812,3162,667,1858,455,711,692,637,422,1969,420,1155,288,517,350,394,282,976,160,628,154,300,174,188,108
95LL17,2539,191,1880,496,816,568,468,317,1096,97,800,226,316,258,199,138,868,78,614,147,292,175,176,124,575,16,466,123,208,135,93,55
95LL18,3351,157,2633,655,1153,825,561,388,1552,81,1190,296,502,392,281,198,1137,48,912,216,424,272,177,130,662,28,531,143,227,161,103,60
95LL19,5148,1135,3179,751,1659,769,834,515,2715,617,1644,376,819,449,454,300,1560,340,966,238,527,201,254,155,873,178,569,137,313,119,126,60
95LL20,2401,928,1145,310,558,277,328,168,1011,458,433,116,201,116,120,64,806,265,410,113,201,96,131,66,584,205,302,81,156,65,77,38
95LL21,3983,1980,1332,309,658,365,671,338,1865,1055,465,107,226,132,345,185,1308,597,480,119,220,141,231,118,810,328,387,83,212,92,95,35
95LL22,3728,3173,104,20,40,44,451,165,1751,1495,41,5,13,23,215,89,1229,1048,34,8,13,13,147,51,748,630,29,7,14,8,89,25
95LL23,2157,239,1505,212,868,425,413,246,809,115,503,69,296,138,191,114,725,93,502,64,298,140,130,78,623,31,500,79,274,147,92,54
95LL24,3769,1180,2161,440,1240,481,428,200,1917,621,1067,217,578,272,229,84,1211,369,716,162,416,138,126,77,641,190,378,61,246,71,73,39
95LL25,4536,322,3446,1216,1427,803,768,501,2498,180,1888,678,771,439,430,296,1402,106,1063,377,441,245,233,154,636,36,495,161,215,119,105,51
95LL26,3698,3202,108,20,39,49,388,136,1775,1579,39,7,16,16,157,57,1115,938,41,8,13,20,136,52,808,685,28,5,10,13,95,27
95MM01,4862,1714,2412,1203,960,249,736,286,2359,907,1097,546,436,115,355,141,1498,469,763,374,302,87,266,93,1005,338,552,283,222,47,115,52
95MM02,3244,2771,97,42,26,29,376,116,1758,1517,42,19,8,15,199,61,940,796,35,15,11,9,109,35,546,458,20,8,7,5,68,20
95MM03,3508,2291,938,499,397,42,279,118,1847,1220,469,262,189,18,158,68,1047,686,292,153,126,13,69,32,614,385,177,84,82,11,52,18
95MM04,2151,1888,29,6,6,17,234,68,923,800,15,3,2,10,108,33,566,485,9,3,2,4,72,19,662,603,5,0,2,3,54,16
