GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95AA18,2369,2336,7,0,1,0,1,5,2,0,1,0,4,12,98.61,0.30,0,0.04,0,0.04,0.21,0.08,0,0.04,0,0.17,0.51
95AA19,2555,2522,14,1,7,0,0,0,0,0,0,8,0,3,98.71,0.55,0.04,0.27,0,0,0,0,0,0,0.31,0,0.12
95BB01,3485,3460,3,2,1,2,0,3,0,1,1,0,0,12,99.28,0.09,0.06,0.03,0.06,0,0.09,0,0.03,0.03,0,0,0.34
95BB02,2280,2229,10,19,0,0,0,1,0,3,2,0,0,16,97.76,0.44,0.83,0,0,0,0.04,0,0.13,0.09,0,0,0.70
95BB03,4058,4024,12,1,0,0,0,0,1,0,0,0,0,20,99.16,0.30,0.02,0,0,0,0,0.02,0,0,0,0,0.49
95BB04,2959,2925,4,6,0,2,1,2,0,0,4,0,0,15,98.85,0.14,0.20,0,0.07,0.03,0.07,0,0,0.14,0,0,0.51
95BB05,3301,3282,1,1,0,0,2,0,0,0,0,0,0,15,99.42,0.03,0.03,0,0,0.06,0,0,0,0,0,0,0.45
95BB06,2778,2682,18,19,0,3,1,13,4,1,0,3,4,30,96.54,0.65,0.68,0,0.11,0.04,0.47,0.14,0.04,0,0.11,0.14,1.08
95BB07,2850,2797,12,3,0,1,2,0,2,10,7,0,0,16,98.14,0.42,0.11,0,0.04,0.07,0,0.07,0.35,0.25,0,0,0.56
95BB08,2508,2470,7,9,0,0,0,5,0,5,0,0,0,12,98.48,0.28,0.36,0,0,0,0.20,0,0.20,0,0,0,0.48
95BB09,2850,2813,18,4,0,0,0,4,4,0,0,0,0,7,98.70,0.63,0.14,0,0,0,0.14,0.14,0,0,0,0,0.25
95BB10,3242,3180,1,4,0,0,0,0,37,3,3,8,0,6,98.09,0.03,0.12,0,0,0,0,1.14,0.09,0.09,0.25,0,0.19
95BB11,2868,2845,2,2,0,0,0,0,4,0,1,0,0,14,99.20,0.07,0.07,0,0,0,0,0.14,0,0.03,0,0,0.49
95BB12,2651,2604,5,6,0,0,6,3,1,0,0,0,3,23,98.23,0.19,0.23,0,0,0.23,0.11,0.04,0,0,0,0.11,0.87
95BB13,4271,4208,6,16,1,0,1,1,0,1,3,0,4,30,98.52,0.14,0.37,0.02,0,0.02,0.02,0,0.02,0.07,0,0.09,0.70
95BB14,3036,2997,0,3,0,0,0,0,1,9,13,0,0,13,98.72,0,0.10,0,0,0,0,0.03,0.30,0.43,0,0,0.43
95BB15,3358,3315,0,4,1,1,15,0,5,0,5,4,1,7,98.72,0,0.12,0.03,0.03,0.45,0,0.15,0,0.15,0.12,0.03,0.21
95BB16,3052,3037,4,5,0,0,1,0,0,0,0,0,0,5,99.51,0.13,0.16,0,0,0.03,0,0,0,0,0,0,0.16
95BB17,3406,3368,6,7,0,0,1,4,0,0,3,0,0,17,98.88,0.18,0.21,0,0,0.03,0.12,0,0,0.09,0,0,0.50
95BB18,4094,4070,2,0,0,1,0,5,1,2,1,0,0,12,99.41,0.05,0,0,0.02,0,0.12,0.02,0.05,0.02,0,0,0.29
95BB19,4603,4536,7,2,0,1,0,4,2,2,3,1,3,42,98.54,0.15,0.04,0,0.02,0,0.09,0.04,0.04,0.07,0.02,0.07,0.91
95BB20,3297,3268,8,7,0,0,0,0,0,0,0,0,1,13,99.12,0.24,0.21,0,0,0,0,0,0,0,0,0.03,0.39
95BB21,4514,4459,19,18,0,0,2,0,0,2,1,0,0,13,98.78,0.42,0.40,0,0,0.04,0,0,0.04,0.02,0,0,0.29
