GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95SS12,2225,308,872,156,80,73,414,140,81,71,30,399,29,10,16,30,13.84,39.19,7.01,3.60,3.28,18.61,6.29,3.64,3.19,1.35,17.93,36.25,12.50,20.00,37.50
95SS13,2158,290,885,98,129,52,270,106,92,162,74,219,34,26,17,62,13.44,41.01,4.54,5.98,2.41,12.51,4.91,4.26,7.51,3.43,10.15,26.36,20.16,13.18,48.06
95SS14,2118,287,769,140,94,47,357,109,98,155,62,283,23,18,14,48,13.55,36.31,6.61,4.44,2.22,16.86,5.15,4.63,7.32,2.93,13.36,24.47,19.15,14.89,51.06
95SS15,2725,345,974,385,74,74,504,164,92,74,39,601,19,24,4,29,12.66,35.74,14.13,2.72,2.72,18.50,6.02,3.38,2.72,1.43,22.06,25.68,32.43,5.41,39.19
95SS16,2397,304,730,106,154,117,291,182,113,321,79,301,60,23,28,67,12.68,30.45,4.42,6.42,4.88,12.14,7.59,4.71,13.39,3.30,12.56,38.96,14.94,18.18,43.51
95SS17,3189,438,1366,204,115,79,433,143,132,205,74,326,36,17,4,51,13.73,42.83,6.40,3.61,2.48,13.58,4.48,4.14,6.43,2.32,10.22,31.30,14.78,3.48,44.35
95SS18,2062,283,774,95,105,62,305,99,96,182,61,260,28,24,14,42,13.72,37.54,4.61,5.09,3.01,14.79,4.80,4.66,8.83,2.96,12.61,26.67,22.86,13.33,40.00
95SS19,2025,288,853,142,114,53,250,95,84,107,39,256,25,16,7,49,14.22,42.12,7.01,5.63,2.62,12.35,4.69,4.15,5.28,1.93,12.64,21.93,14.04,6.14,42.98
95SS20,1978,289,720,133,40,58,492,94,56,61,35,348,13,4,4,18,14.61,36.40,6.72,2.02,2.93,24.87,4.75,2.83,3.08,1.77,17.59,32.50,10.00,10.00,45.00
95SS21,3417,480,1511,425,76,122,385,142,110,118,48,601,18,16,4,29,14.05,44.22,12.44,2.22,3.57,11.27,4.16,3.22,3.45,1.40,17.59,23.68,21.05,5.26,38.16
95SS22,2331,326,982,127,73,81,388,114,122,71,47,445,21,16,4,20,13.99,42.13,5.45,3.13,3.47,16.65,4.89,5.23,3.05,2.02,19.09,28.77,21.92,5.48,27.40
95SS23,2818,344,1192,303,99,73,437,124,94,107,45,511,23,27,15,39,12.21,42.30,10.75,3.51,2.59,15.51,4.40,3.34,3.80,1.60,18.13,23.23,27.27,15.15,39.39
95SS24,3633,509,1624,362,100,107,460,175,129,106,61,690,28,23,9,38,14.01,44.70,9.96,2.75,2.95,12.66,4.82,3.55,2.92,1.68,18.99,28.00,23.00,9.00,38.00
95SS25,1773,269,528,60,142,51,234,107,130,195,57,131,41,8,22,75,15.17,29.78,3.38,8.01,2.88,13.20,6.03,7.33,11.00,3.21,7.39,28.87,5.63,15.49,52.82
95SS26,2720,463,741,121,201,128,269,191,186,327,93,251,72,19,48,85,17.02,27.24,4.45,7.39,4.71,9.89,7.02,6.84,12.02,3.42,9.23,35.82,9.45,23.88,42.29
95SS27,1851,266,695,84,84,70,298,119,70,125,40,286,15,23,7,38,14.37,37.55,4.54,4.54,3.78,16.10,6.43,3.78,6.75,2.16,15.45,17.86,27.38,8.33,45.24
95SS28,1827,274,700,77,72,62,257,76,88,154,67,189,20,16,11,31,15.00,38.31,4.21,3.94,3.39,14.07,4.16,4.82,8.43,3.67,10.34,27.78,22.22,15.28,43.06
95SS29,1837,240,410,75,156,64,237,146,139,291,79,132,48,25,34,83,13.06,22.32,4.08,8.49,3.48,12.90,7.95,7.57,15.84,4.30,7.19,30.77,16.03,21.79,53.21
95SS30,2519,315,1164,167,40,97,457,106,71,63,39,512,13,8,5,8,12.50,46.21,6.63,1.59,3.85,18.14,4.21,2.82,2.50,1.55,20.33,32.50,20.00,12.50,20.00
95TT01,1920,246,681,293,76,67,191,153,78,76,59,336,25,4,12,36,12.81,35.47,15.26,3.96,3.49,9.95,7.97,4.06,3.96,3.07,17.50,32.89,5.26,15.79,47.37
95TT02,1876,221,644,252,78,50,182,159,110,114,66,269,24,13,11,29,11.78,34.33,13.43,4.16,2.67,9.70,8.48,5.86,6.08,3.52,14.34,30.77,16.67,14.10,37.18
