GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95LL06,1408,277,708,339,66,18,1658,19.67,50.28,24.08,4.69,1.28
95LL07,1001,413,475,95,15,3,722,41.26,47.45,9.49,1.50,0.30
95LL08,1326,626,505,150,34,11,956,47.21,38.08,11.31,2.56,0.83
95LL09,1395,656,584,131,18,6,932,47.03,41.86,9.39,1.29,0.43
95LL10,1741,145,686,656,190,64,2853,8.33,39.40,37.68,10.91,3.68
95LL11,1424,102,505,593,167,57,2441,7.16,35.46,41.64,11.73,4.00
95LL12,1492,467,705,276,38,6,1395,31.30,47.25,18.50,2.55,0.40
95LL13,1097,326,551,188,26,6,1034,29.72,50.23,17.14,2.37,0.55
95LL14,970,351,429,150,28,12,863,36.19,44.23,15.46,2.89,1.24
95LL15,1330,325,597,323,66,19,1517,24.44,44.89,24.29,4.96,1.43
95LL16,2282,248,1038,825,124,47,3268,10.87,45.49,36.15,5.43,2.06
95LL17,1106,228,551,259,45,23,1297,20.61,49.82,23.42,4.07,2.08
95LL18,1331,156,599,443,105,28,1919,11.72,45.00,33.28,7.89,2.10
95LL19,1904,171,722,783,164,64,3056,8.98,37.92,41.12,8.61,3.36
95LL20,942,233,504,169,32,4,954,24.73,53.50,17.94,3.40,0.42
95LL21,1662,464,775,352,52,19,1720,27.92,46.63,21.18,3.13,1.14
95LL22,1424,409,660,280,61,14,1464,28.72,46.35,19.66,4.28,0.98
95LL23,973,359,454,132,17,11,814,36.90,46.66,13.57,1.75,1.13
95LL24,1312,117,469,488,156,82,2271,8.92,35.75,37.20,11.89,6.25
95LL25,1739,112,693,696,183,55,2882,6.44,39.85,40.02,10.52,3.16
95LL26,1490,445,647,309,73,16,1558,29.87,43.42,20.74,4.90,1.07
95MM01,1897,416,903,462,89,27,2208,21.93,47.60,24.35,4.69,1.42
95MM02,1144,146,435,403,119,41,1770,12.76,38.02,35.23,10.40,3.58
95MM03,1155,151,380,430,135,59,1906,13.07,32.90,37.23,11.69,5.11
95MM04,890,381,384,92,26,7,674,42.81,43.15,10.34,2.92,0.79
95MM05,1062,604,379,72,5,2,548,56.87,35.69,6.78,0.47,0.19
95MM06,949,364,466,91,22,6,738,38.36,49.10,9.59,2.32,0.63
95MM07,1201,418,532,209,37,5,1081,34.80,44.30,17.40,3.08,0.42
95MM08,1238,397,496,269,51,25,1300,32.07,40.06,21.73,4.12,2.02
95MM09,1220,199,467,388,114,52,1815,16.31,38.28,31.80,9.34,4.26
95MM10,987,510,386,80,9,2,581,51.67,39.11,8.11,0.91,0.20
95MM11,855,465,316,65,6,3,479,54.39,36.96,7.60,0.70,0.35
95MM12,1976,657,869,336,86,28,1931,33.25,43.98,17.00,4.35,1.42
95MM13,2990,711,1308,771,158,42,3513,23.78,43.75,25.79,5.28,1.40
95MM14,1176,570,462,111,23,10,801,48.47,39.29,9.44,1.96,0.85
95MM15,1570,215,584,582,128,61,2414,13.69,37.20,37.07,8.15,3.89
95MM16,2079,372,890,654,120,43,2751,17.89,42.81,31.46,5.77,2.07
95MM17,1347,342,566,347,69,23,1567,25.39,42.02,25.76,5.12,1.71
95MM18,1766,238,776,588,130,34,2488,13.48,43.94,33.30,7.36,1.93
95MM19,1269,234,637,311,62,25,1559,18.44,50.20,24.51,4.89,1.97
95MM20,1469,417,726,272,38,16,1450,28.39,49.42,18.52,2.59,1.09
95MM21,1254,192,560,358,116,28,1741,15.31,44.66,28.55,9.25,2.23
95MM22,973,208,474,222,46,23,1158,21.38,48.72,22.82,4.73,2.36
95MM23,1074,506,445,100,19,4,718,47.11,41.43,9.31,1.77,0.37
95MM24,892,373,389,94,31,5,691,41.82,43.61,10.54,3.48,0.56
95MM25,2188,799,962,327,81,19,1945,36.52,43.97,14.95,3.70,0.87
95MM26,1056,251,477,245,62,21,1242,23.77,45.17,23.20,5.87,1.99
95MM27,1614,896,531,151,26,10,964,55.51,32.90,9.36,1.61,0.62
95MM28,1095,650,375,59,9,2,528,59.36,34.25,5.39,0.82,0.18
95MM29,1490,685,575,197,28,5,1074,45.97,38.59,13.22,1.88,0.34
95MM30,903,472,333,81,8,9,555,52.27,36.88,8.97,0.89,1.00
95NN01,1201,193,574,309,88,37,1622,16.07,47.79,25.73,7.33,3.08
95NN02,836,128,332,291,71,14,1187,15.31,39.71,34.81,8.49,1.67
