GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95GG23,4555,1995,666,504,284,257,113,514,222,43.80,14.62,11.06,6.23,5.64,2.48,11.28,4.87
95GG24,4561,1616,986,532,247,207,48,603,322,35.43,21.62,11.66,5.42,4.54,1.05,13.22,7.06
95GG25,5573,4867,11,15,3,15,26,155,481,87.33,0.20,0.27,0.05,0.27,0.47,2.78,8.63
95GG26,3749,503,888,1170,198,200,26,328,436,13.42,23.69,31.21,5.28,5.33,0.69,8.75,11.63
95GG27,6498,5484,31,18,7,21,12,183,742,84.40,0.48,0.28,0.11,0.32,0.18,2.82,11.42
95GG28,5651,390,1722,1769,314,402,48,623,383,6.90,30.47,31.30,5.56,7.11,0.85,11.02,6.78
95GG29,5014,498,1101,1003,344,395,202,990,481,9.93,21.96,20.00,6.86,7.88,4.03,19.74,9.59
95GG30,4827,303,1401,855,489,517,49,919,294,6.28,29.02,17.71,10.13,10.71,1.02,19.04,6.09
95GG31,6519,5026,125,268,60,74,37,340,589,77.10,1.92,4.11,0.92,1.14,0.57,5.22,9.04
95GG32,6409,2722,1032,901,189,340,48,595,582,42.47,16.10,14.06,2.95,5.31,0.75,9.28,9.08
95GG33,5555,3050,617,464,65,136,109,817,297,54.91,11.11,8.35,1.17,2.45,1.96,14.71,5.35
95GG34,4927,2712,474,441,217,216,76,510,281,55.04,9.62,8.95,4.40,4.38,1.54,10.35,5.70
95GG35,4950,3843,45,50,11,23,38,143,797,77.64,0.91,1.01,0.22,0.46,0.77,2.89,16.10
95GG36,5619,461,1632,911,458,589,69,1194,305,8.20,29.04,16.21,8.15,10.48,1.23,21.25,5.43
95GG37,6041,1934,823,653,307,344,109,1444,427,32.01,13.62,10.81,5.08,5.69,1.80,23.90,7.07
95GG38,6564,3377,577,504,159,252,122,1204,369,51.45,8.79,7.68,2.42,3.84,1.86,18.34,5.62
95GG39,7214,2058,935,1054,326,326,427,1215,873,28.53,12.96,14.61,4.52,4.52,5.92,16.84,12.10
95GG40,3816,183,1133,1195,209,218,19,345,514,4.80,29.69,31.32,5.48,5.71,0.50,9.04,13.47
95GG41,5548,541,1800,980,312,430,58,1143,284,9.75,32.44,17.66,5.62,7.75,1.05,20.60,5.12
95GG42,8139,3364,1075,815,173,441,221,1680,370,41.33,13.21,10.01,2.13,5.42,2.72,20.64,4.55
95GG43,4874,326,1111,988,495,463,83,1028,380,6.69,22.79,20.27,10.16,9.50,1.70,21.09,7.80
95GG44,5591,603,1434,906,243,439,63,1154,749,10.79,25.65,16.20,4.35,7.85,1.13,20.64,13.40
95GG45,4841,1218,1135,881,227,226,117,708,329,25.16,23.45,18.20,4.69,4.67,2.42,14.63,6.80
95GG46,5250,4446,23,26,5,22,16,145,567,84.69,0.44,0.50,0.10,0.42,0.30,2.76,10.80
95GG47,5829,4452,93,71,9,71,50,490,593,76.38,1.60,1.22,0.15,1.22,0.86,8.41,10.17
95GG48,5694,4887,32,24,5,33,11,113,589,85.83,0.56,0.42,0.09,0.58,0.19,1.98,10.34
95GG49,8141,2601,1041,758,190,576,425,1892,658,31.95,12.79,9.31,2.33,7.08,5.22,23.24,8.08
95GG50,5445,805,1300,863,224,392,135,1230,496,14.78,23.88,15.85,4.11,7.20,2.48,22.59,9.11
95GG51,4088,138,1178,1291,291,273,20,403,494,3.38,28.82,31.58,7.12,6.68,0.49,9.86,12.08
95HH01,2059,236,566,326,111,186,13,470,151,11.46,27.49,15.83,5.39,9.03,0.63,22.83,7.33
95HH02,2962,160,951,589,248,364,14,523,113,5.40,32.11,19.89,8.37,12.29,0.47,17.66,3.81
95HH03,1663,153,565,316,118,167,6,246,92,9.20,33.97,19.00,7.10,10.04,0.36,14.79,5.53
95HH04,3067,171,954,677,308,271,27,528,131,5.58,31.11,22.07,10.04,8.84,0.88,17.22,4.27
95HH05,2171,93,668,471,190,179,5,372,193,4.28,30.77,21.70,8.75,8.25,0.23,17.13,8.89
95HH06,4797,268,1519,956,384,588,47,815,220,5.59,31.67,19.93,8.01,12.26,0.98,16.99,4.59
95HH07,1493,80,305,369,201,135,14,259,130,5.36,20.43,24.72,13.46,9.04,0.94,17.35,8.71
95HH08,2619,308,748,410,164,266,18,567,138,11.76,28.56,15.65,6.26,10.16,0.69,21.65,5.27
95HH09,2620,335,659,439,203,241,35,510,198,12.79,25.15,16.76,7.75,9.20,1.34,19.47,7.56
95HH10,2489,209,779,468,160,279,23,506,65,8.40,31.30,18.80,6.43,11.21,0.92,20.33,2.61
95HH11,1417,70,457,284,98,125,10,254,119,4.94,32.25,20.04,6.92,8.82,0.71,17.93,8.40
95HH12,1552,60,429,260,205,150,12,350,86,3.87,27.64,16.75,13.21,9.66,0.77,22.55,5.54
95HH13,1407,44,378,286,175,137,5,274,108,3.13,26.87,20.33,12.44,9.74,0.36,19.47,7.68
95HH14,1530,105,414,296,138,160,11,264,142,6.86,27.06,19.35,9.02,10.46,0.72,17.25,9.28
95HH15,2630,206,787,500,225,288,32,468,124,7.83,29.92,19.01,8.56,10.95,1.22,17.79,4.71
95HH16,2159,346,561,355,101,167,31,504,94,16.03,25.98,16.44,4.68,7.74,1.44,23.34,4.35
95HH17,2479,114,928,421,163,298,16,386,153,4.60,37.43,16.98,6.58,12.02,0.65,15.57,6.17
95II01,3084,120,1052,580,238,386,32,561,115,3.89,34.11,18.81,7.72,12.52,1.04,18.19,3.73
95II02,4961,1517,890,830,255,352,94,756,267,30.58,17.94,16.73,5.14,7.10,1.89,15.24,5.38
95II03,3523,1492,523,398,136,217,56,539,162,42.35,14.85,11.30,3.86,6.16,1.59,15.30,4.60
95II04,4317,137,1366,928,273,537,37,789,250,3.17,31.64,21.50,6.32,12.44,0.86,18.28,5.79
95II05,3546,1586,598,388,86,238,48,415,187,44.73,16.86,10.94,2.43,6.71,1.35,11.70,5.27
95II06,3398,1486,515,368,102,232,44,489,162,43.73,15.16,10.83,3.00,6.83,1.29,14.39,4.77
95II07,2090,128,649,377,131,165,21,425,194,6.12,31.05,18.04,6.27,7.89,1.00,20.33,9.28
95II08,2417,201,617,464,270,249,19,475,122,8.32,25.53,19.20,11.17,10.30,0.79,19.65,5.05
95II09,3363,242,960,732,234,407,37,579,172,7.20,28.55,21.77,6.96,12.10,1.10,17.22,5.11
95II10,2592,68,796,634,245,233,21,449,146,2.62,30.71,24.46,9.45,8.99,0.81,17.32,5.63
95II11,2567,1092,385,304,87,153,26,398,122,42.54,15.00,11.84,3.39,5.96,1.01,15.50,4.75
95II12,2512,172,739,459,198,293,25,484,142,6.85,29.42,18.27,7.88,11.66,1.00,19.27,5.65
95II13,2702,132,742,538,196,326,44,498,226,4.89,27.46,19.91,7.25,12.07,1.63,18.43,8.36
95II14,2561,658,619,347,217,232,20,361,107,25.69,24.17,13.55,8.47,9.06,0.78,14.10,4.18
95II15,3357,1416,486,307,115,230,43,563,197,42.18,14.48,9.15,3.43,6.85,1.28,16.77,5.87
95II16,2126,63,635,417,351,197,17,311,135,2.96,29.87,19.61,16.51,9.27,0.80,14.63,6.35
95II17,2493,93,830,453,255,264,43,410,145,3.73,33.29,18.17,10.23,10.59,1.72,16.45,5.82
95II18,2226,106,548,615,150,243,31,326,207,4.76,24.62,27.63,6.74,10.92,1.39,14.65,9.30
95II19,3770,410,1607,474,150,437,28,497,167,10.88,42.63,12.57,3.98,11.59,0.74,13.18,4.43
95II20,2780,955,445,377,110,179,38,491,185,34.35,16.01,13.56,3.96,6.44,1.37,17.66,6.65
95II21,2419,43,837,535,154,228,9,394,219,1.78,34.60,22.12,6.37,9.43,0.37,16.29,9.05
95II22,2248,114,729,378,259,244,5,414,105,5.07,32.43,16.81,11.52,10.85,0.22,18.42,4.67
95II23,2190,870,354,217,107,114,29,378,121,39.73,16.16,9.91,4.89,5.21,1.32,17.26,5.53
95JJ01,2499,546,991,432,16,206,7,200,101,21.85,39.66,17.29,0.64,8.24,0.28,8.00,4.04
95JJ02,2374,609,529,453,55,146,12,337,233,25.65,22.28,19.08,2.32,6.15,0.51,14.20,9.81
95JJ03,2470,263,648,765,42,174,22,381,175,10.65,26.23,30.97,1.70,7.04,0.89,15.43,7.09
