GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95UU99C2,1777,399,1378,1059,215,844,479,130,349,239,54,185
95UU99C3,1795,373,1422,1402,285,1117,71,34,37,322,54,268
95UU99C4,1802,362,1440,1486,264,1222,129,52,77,187,46,141
95UU99C5,2383,483,1900,1872,344,1528,182,67,115,329,72,257
95UU99C6,2245,524,1721,1479,316,1163,255,97,158,511,111,400
95VV01S1,1650,294,1356,1366,245,1121,61,13,48,223,36,187
95VV01S2,1555,366,1189,1091,231,860,155,62,93,309,73,236
95VV02W1,2182,646,1536,1140,316,824,514,212,302,528,118,410
95VV03W1,2543,632,1911,1613,379,1234,389,139,250,541,114,427
95VV04W1,3138,535,2603,2686,429,2257,39,18,21,413,88,325
95VV05S1,1949,283,1666,1634,232,1402,49,18,31,266,33,233
95VV05S2,2542,284,2258,2164,236,1928,32,9,23,346,39,307
95VV06W1,3482,621,2861,2727,474,2253,212,58,154,543,89,454
95VV07S1,2052,487,1565,1174,256,918,363,115,248,515,116,399
95VV07S2,2341,326,2015,1922,239,1683,95,36,59,324,51,273
95VV08W1,3052,585,2467,2485,464,2021,230,53,177,337,68,269
95VV09W1,2665,631,2034,1951,419,1532,368,142,226,346,70,276
95VV10S1,1580,372,1208,742,175,567,477,148,329,361,49,312
95VV10S2,1575,395,1180,931,233,698,201,86,115,443,76,367
95VV11S1,2046,315,1731,1749,252,1497,43,16,27,254,47,207
95VV11S2,2380,324,2056,1982,262,1720,24,14,10,374,48,326
95VV12S1,1652,335,1317,1030,189,841,358,98,260,264,48,216
95VV12S2,1523,308,1215,978,179,799,270,80,190,275,49,226
95VV13S1,2057,314,1743,1838,264,1574,37,9,28,182,41,141
95VV13S2,1406,241,1165,1273,209,1064,28,9,19,105,23,82
95VV14S1,1950,333,1617,1149,210,939,156,49,107,645,74,571
95VV14S2,1386,326,1060,1026,232,794,84,43,41,276,51,225
95VV15S1,1419,382,1037,697,214,483,426,107,319,296,61,235
95VV15S2,1665,293,1372,1217,213,1004,104,41,63,344,39,305
95VV16W1,3110,576,2534,2598,475,2123,129,42,87,383,59,324
95VV17S1,2205,391,1814,1776,290,1486,112,29,83,317,72,245
95VV17S2,2151,342,1809,1763,271,1492,128,28,100,260,43,217
95VV18S1,1862,309,1553,1418,235,1183,26,9,17,418,65,353
95VV18S2,1780,428,1352,1043,215,828,318,129,189,419,84,335
95VV19S1,1288,301,987,934,199,735,99,37,62,255,65,190
95VV19S2,1681,352,1329,988,201,787,222,73,149,471,78,393
95VV20W1,2990,529,2461,2570,408,2162,117,54,63,303,67,236
95VV21S1,2302,348,1954,1989,279,1710,79,21,58,234,48,186
95VV21S2,1735,257,1478,1593,234,1359,4,2,2,138,21,117
95VV22W1,2836,537,2299,2163,371,1792,231,81,150,442,85,357
95VV23W1,2876,582,2294,2047,373,1674,234,87,147,595,122,473
95VV24S1,1479,276,1203,1174,190,984,33,13,20,272,73,199
95VV24S2,1535,399,1136,906,213,693,274,123,151,355,63,292
95VV25S1,1845,328,1517,1505,242,1263,131,42,89,209,44,165
95VV25S2,1925,321,1604,1729,296,1433,25,7,18,171,18,153
95VV26W1,3583,619,2964,2864,474,2390,132,42,90,587,103,484
95VV27W1,2237,571,1666,1286,345,941,360,122,238,591,104,487
95VV28S1,2157,348,1809,1432,211,1221,149,61,88,576,76,500
95VV28S2,1284,334,950,773,216,557,186,67,119,325,51,274
95VV29W1,3366,534,2832,2993,439,2554,86,25,61,287,70,217
95VV30S1,1564,209,1355,1220,170,1050,25,7,18,319,32,287
95VV30S2,1341,308,1033,855,189,666,190,66,124,296,53,243
95WW01S1,1372,348,1024,939,214,725,218,97,121,215,37,178
95WW01S2,1370,319,1051,894,215,679,38,24,14,438,80,358
95WW02S1,1737,388,1349,1161,190,971,369,148,221,207,50,157
95WW02S2,2039,300,1739,1601,199,1402,278,68,210,160,33,127
95WW03S1,1616,412,1204,1053,233,820,207,99,108,356,80,276
95WW03S2,2011,300,1711,1615,227,1388,89,26,63,307,47,260
95WW04S1,1611,305,1306,1281,224,1057,154,51,103,176,30,146
95WW04S2,1255,243,1012,1126,224,902,5,1,4,124,18,106
95WW05S1,1517,254,1263,1334,213,1121,38,13,25,145,28,117
95WW05S2,1236,347,889,938,242,696,112,74,38,186,31,155
95WW06S1,1525,207,1318,1376,180,1196,6,2,4,143,25,118
95WW06S2,1601,236,1365,1442,197,1245,28,11,17,131,28,103
95WW07S1,1809,293,1516,1654,263,1391,5,0,5,150,30,120
95WW07S2,2378,367,2011,2117,317,1800,3,2,1,258,48,210
95WW08S1,1219,194,1025,1106,178,928,7,1,6,106,15,91
95WW08S2,1340,291,1049,1194,254,940,35,25,10,111,12,99
95WW09S1,1276,319,957,767,147,620,398,136,262,111,36,75
95WW09S2,1258,293,965,1200,274,926,11,6,5,47,13,34
95WW10S1,1718,316,1402,1420,239,1181,125,41,84,173,36,137
95WW10S2,1228,331,897,930,247,683,84,34,50,214,50,164
95WW11S1,1697,240,1457,1602,227,1375,5,2,3,90,11,79
95WW11S2,1381,280,1101,1248,252,996,8,4,4,125,24,101
95WW12W1,2377,659,1718,1204,340,864,826,251,575,347,68,279
95WW13S1,1840,274,1566,1566,220,1346,92,28,64,182,26,156
95WW13S2,1830,280,1550,1634,244,1390,44,20,24,152,16,136
95WW14W1,2229,623,1606,1022,240,782,876,305,571,331,78,253
95WW15S1,1599,258,1341,1379,222,1157,6,1,5,214,35,179
95WW15S2,1655,308,1347,1514,275,1239,17,7,10,124,26,98
95WW16S1,1636,300,1336,1386,274,1112,12,5,7,238,21,217
95WW16S2,1297,335,962,757,142,615,322,142,180,218,51,167
95WW17W1,2266,568,1698,1755,409,1346,303,116,187,208,43,165
95WW18W1,2228,557,1671,1841,456,1385,73,32,41,314,69,245
95WW19S1,1872,400,1472,1629,324,1305,79,36,43,164,40,124
95WW19S2,2047,185,1862,1962,175,1787,10,2,8,75,8,67
95WW19S3,2306,238,2068,2123,213,1910,20,9,11,163,16,147
95WW20S1,1827,269,1558,1656,232,1424,51,20,31,120,17,103
95WW20S2,4574,414,4160,4122,359,3763,17,9,8,435,46,389
95WW20S3,1937,227,1710,1749,198,1551,17,5,12,171,24,147
95WW21S1,1481,454,1027,777,207,570,510,197,313,194,50,144
95WW21S2,2026,305,1721,1435,182,1253,330,85,245,261,38,223
95WW22S1,1414,257,1157,1197,209,988,52,23,29,165,25,140
95WW22S2,1571,414,1157,822,149,673,553,219,334,196,46,150
95WW23S1,2042,377,1665,1331,213,1118,298,117,181,413,47,366
95WW23S2,1398,191,1207,1240,177,1063,2,0,2,156,14,142
95WW24S1,1498,390,1108,940,207,733,243,98,145,315,85,230
95WW24S2,1926,449,1477,941,206,735,626,185,441,359,58,301
95WW25W1,2071,697,1374,1085,277,808,771,338,433,215,82,133
95XX01S1,1730,235,1495,1604,223,1381,12,3,9,114,9,105
95XX01S2,1930,204,1726,1801,190,1611,25,3,22,104,11,93
95XX01S3,1599,215,1384,1424,183,1241,31,18,13,144,14,130
95XX02W1,2573,390,2183,2245,337,1908,28,19,9,300,34,266
95XX03S1,1246,235,1011,1179,221,958,0,0,0,67,14,53
95XX03S2,1475,223,1252,1349,209,1140,8,1,7,118,13,105
95XX04S1,1687,263,1424,1578,241,1337,20,3,17,89,19,70
95XX04S2,1934,296,1638,1718,264,1454,6,1,5,210,31,179
95XX05W1,2591,624,1967,1851,424,1427,218,97,121,522,103,419
95XX06S1,1724,339,1385,1031,182,849,374,116,258,319,41,278
95XX06S2,2054,345,1709,1560,204,1356,262,101,161,232,40,192
95XX07S1,1420,293,1127,1237,255,982,2,1,1,181,37,144
