GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
95XX07S2,1425,89,333,576,427,1130,58,299,508,265,161,6,0,17,138,134,25,34,51,24
95XX08S1,1323,90,187,658,388,1117,42,160,600,315,9,1,1,4,3,197,47,26,54,70
95XX08S2,1267,98,255,489,425,1106,65,222,429,390,33,1,3,13,16,128,32,30,47,19
95XX09S1,1280,123,237,508,412,1001,67,195,471,268,139,4,8,8,119,140,52,34,29,25
95XX09S2,1429,154,353,599,323,1190,89,287,538,276,69,1,10,30,28,170,64,56,31,19
95XX10S1,1777,397,583,631,166,1208,170,443,489,106,374,141,91,97,45,195,86,49,45,15
95XX10S2,1840,332,654,719,135,1587,225,568,677,117,31,9,9,10,3,222,98,77,32,15
95XX10S3,1204,297,343,436,128,875,166,239,350,120,187,62,63,58,4,142,69,41,28,4
95XX11S1,2443,702,660,831,250,1829,481,488,681,179,374,110,96,113,55,240,111,76,37,16
95XX11S2,2269,636,819,645,169,1728,467,655,517,89,238,45,58,74,61,303,124,106,54,19
95XX11S3,1535,454,413,491,177,746,218,237,237,54,628,157,148,214,109,161,79,28,40,14
95XX12W1,2430,95,411,1291,633,2101,48,326,1146,581,64,5,7,29,23,265,42,78,116,29
95XX13W1,2735,173,542,1200,820,2488,99,490,1117,782,36,5,2,21,8,211,69,50,62,30
95XX14W1,2403,136,463,1189,615,2171,74,380,1113,604,15,5,6,4,0,217,57,77,72,11
95XX15W1,2433,516,520,875,522,1503,257,315,594,337,629,128,145,211,145,301,131,60,70,40
95XX16W1,2995,222,483,1315,975,2607,118,415,1194,880,95,2,2,38,53,293,102,66,83,42
95XX17S1,1469,387,342,542,198,716,78,165,335,138,35,7,9,15,4,718,302,168,192,56
95XX17S2,1527,192,399,664,272,1159,81,301,543,234,29,5,5,9,10,339,106,93,112,28
95XX18W1,2847,478,625,1134,610,1904,182,425,867,430,316,63,37,93,123,627,233,163,174,57
95XX19W1,2633,147,590,1310,586,2214,79,459,1168,508,176,24,39,67,46,243,44,92,75,32
95XX20S1,1945,357,413,756,419,1261,168,261,525,307,481,116,99,177,89,203,73,53,54,23
95XX20S2,1160,530,342,194,94,338,41,78,136,83,98,45,27,23,3,724,444,237,35,8
95XX21W1,2713,161,535,1204,813,2293,68,453,1082,690,130,12,9,27,82,290,81,73,95,41
95XX22W1,2215,344,469,922,480,1844,213,366,830,435,26,3,1,11,11,345,128,102,81,34
95XX23W1,3065,852,773,983,457,2158,462,556,771,369,197,23,42,82,50,710,367,175,130,38
95XX24S1,1336,136,290,631,279,1198,88,255,587,268,21,0,5,14,2,117,48,30,30,9
95XX24S2,1369,130,300,501,438,1173,84,254,461,374,17,11,0,2,4,179,35,46,38,60
95XX25W1,2445,488,574,894,489,1552,230,347,631,344,537,117,130,184,106,356,141,97,79,39
95YY01W1,2503,318,774,1017,394,2026,198,612,897,319,82,12,26,18,26,395,108,136,102,49
95YY02W1,2151,347,471,947,386,1405,99,305,725,276,321,54,72,121,74,425,194,94,101,36
95YY03W1,3115,367,971,1326,451,2782,286,873,1227,396,35,4,11,15,5,298,77,87,84,50
95YY04W1,3433,724,993,1293,423,2316,301,670,1014,331,256,37,85,81,53,861,386,238,198,39
95YY05W1,1630,188,330,718,394,1148,56,211,564,317,131,20,25,51,35,351,112,94,103,42
95YY06W1,2389,339,594,1065,391,1786,158,448,871,309,205,52,38,92,23,398,129,108,102,59
95YY07W1,2916,356,809,1329,422,2520,217,725,1214,364,93,13,14,56,10,303,126,70,59,48
95YY08W1,2231,247,653,957,374,1851,160,547,831,313,129,25,20,59,25,251,62,86,67,36
95YY09W1,2250,354,445,1002,449,1520,73,250,828,369,172,31,57,58,26,558,250,138,116,54
95YY10W1,2140,75,530,1095,440,1966,56,495,1017,398,27,1,1,14,11,147,18,34,64,31
95YY11W1,2046,307,438,907,394,1411,129,295,672,315,272,53,53,126,40,363,125,90,109,39
95YY12W1,2748,392,774,1211,371,2210,219,601,1075,315,66,9,24,18,15,472,164,149,118,41
95YY13S1,1488,312,460,576,140,918,113,283,415,107,139,19,59,47,14,431,180,118,114,19
95YY13S2,1345,247,279,579,240,742,83,164,353,142,331,65,60,145,61,272,99,55,81,37
95YY14S1,1530,279,421,689,141,1063,97,291,548,127,197,61,64,69,3,270,121,66,72,11
95YY14S2,1564,319,438,668,139,1026,105,287,538,96,76,13,24,30,9,462,201,127,100,34
95YY15S1,364,49,48,131,136,241,18,21,111,91,42,0,0,9,33,81,31,27,11,12
95YY15S2,1669,507,488,528,146,646,107,225,241,73,607,192,168,201,46,416,208,95,86,27
95YY16W1,2390,273,580,1129,408,2050,150,488,1045,367,29,4,0,15,10,311,119,92,69,31
95YY17W1,2350,284,712,974,380,2022,169,646,866,341,90,25,10,48,7,238,90,56,60,32
95YY18W1,2374,264,708,1056,346,2025,164,580,968,313,82,19,26,28,9,267,81,102,60,24
95YY19W1,1479,297,282,564,336,840,55,170,365,250,170,41,18,57,54,469,201,94,142,32
95YY20W1,2330,248,540,1149,393,2089,171,494,1078,346,60,8,11,29,12,181,69,35,42,35
95YY21W1,2437,307,661,1035,434,2105,188,570,964,383,53,12,10,24,7,279,107,81,47,44
95ZZ01W1,2760,396,775,1119,470,2274,272,659,948,395,159,21,30,73,35,327,103,86,98,40
95ZZ02W1,1827,334,406,752,335,1002,109,199,458,236,607,135,160,240,72,218,90,47,54,27
95ZZ03W1,2073,315,443,882,433,1304,122,265,607,310,277,31,56,122,68,492,162,122,153,55
95ZZ04W1,2628,295,700,1151,482,2069,177,524,995,373,150,18,53,54,25,409,100,123,102,84
