ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6603NI1834,Count,PERSONS,"Females, Aged 16 to 64, 41.Administrative occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1835,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, All usual residents aged 16 to 74"
DC6603NI1836,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: Total"
DC6603NI1837,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1838,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1839,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: Total"
DC6603NI1840,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1841,Count,PERSONS,"Females, Aged 16 to 64, 42.Secretarial and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1842,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, All usual residents aged 16 to 74"
DC6603NI1843,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: Total"
DC6603NI1844,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1845,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1846,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: Total"
DC6603NI1847,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1848,Count,PERSONS,"Females, Aged 16 to 64, 5.Skilled trades occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1849,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, All usual residents aged 16 to 74"
DC6603NI1850,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: Total"
DC6603NI1851,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1852,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1853,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: Total"
DC6603NI1854,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1855,Count,PERSONS,"Females, Aged 16 to 64, 51.Skilled agricultural and related trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1856,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, All usual residents aged 16 to 74"
DC6603NI1857,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: Total"
DC6603NI1858,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1859,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1860,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: Total"
DC6603NI1861,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1862,Count,PERSONS,"Females, Aged 16 to 64, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1863,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, All usual residents aged 16 to 74"
DC6603NI1864,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: Total"
DC6603NI1865,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1866,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1867,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: Total"
DC6603NI1868,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1869,Count,PERSONS,"Females, Aged 16 to 64, 53.Skilled construction and building trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1870,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, All usual residents aged 16 to 74"
DC6603NI1871,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: Total"
DC6603NI1872,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1873,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1874,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: Total"
DC6603NI1875,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1876,Count,PERSONS,"Females, Aged 16 to 64, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1877,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, All usual residents aged 16 to 74"
DC6603NI1878,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: Total"
DC6603NI1879,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1880,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1881,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: Total"
DC6603NI1882,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1883,Count,PERSONS,"Females, Aged 16 to 64, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1884,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, All usual residents aged 16 to 74"
DC6603NI1885,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: Total"
DC6603NI1886,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1887,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1888,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: Total"
DC6603NI1889,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1890,Count,PERSONS,"Females, Aged 16 to 64, 61.Caring personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1891,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, All usual residents aged 16 to 74"
DC6603NI1892,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: Total"
DC6603NI1893,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1894,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1895,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: Total"
DC6603NI1896,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1897,Count,PERSONS,"Females, Aged 16 to 64, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1898,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, All usual residents aged 16 to 74"
DC6603NI1899,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: Total"
DC6603NI1900,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1901,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1902,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: Total"
DC6603NI1903,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1904,Count,PERSONS,"Females, Aged 16 to 64, 7.Sales and customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1905,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, All usual residents aged 16 to 74"
DC6603NI1906,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: Total"
DC6603NI1907,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1908,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1909,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: Total"
DC6603NI1910,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1911,Count,PERSONS,"Females, Aged 16 to 64, 71.Sales occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1912,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, All usual residents aged 16 to 74"
DC6603NI1913,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: Total"
DC6603NI1914,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1915,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1916,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: Total"
DC6603NI1917,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1918,Count,PERSONS,"Females, Aged 16 to 64, 72.Customer service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1919,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, All usual residents aged 16 to 74"
DC6603NI1920,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: Total"
DC6603NI1921,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI1922,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1923,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: Total"
DC6603NI1924,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1925,Count,PERSONS,"Females, Aged 16 to 64, 8.Process, plant and machine operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI1926,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, All usual residents aged 16 to 74"
DC6603NI1927,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: Total"
DC6603NI1928,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI1929,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1930,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: Total"
DC6603NI1931,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1932,Count,PERSONS,"Females, Aged 16 to 64, 81.Process, plant and machine operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI1933,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, All usual residents aged 16 to 74"
DC6603NI1934,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: Total"
DC6603NI1935,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI1936,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1937,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: Total"
DC6603NI1938,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1939,Count,PERSONS,"Females, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI1940,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, All usual residents aged 16 to 74"
DC6603NI1941,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: Total"
DC6603NI1942,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1943,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1944,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: Total"
DC6603NI1945,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1946,Count,PERSONS,"Females, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1947,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, All usual residents aged 16 to 74"
DC6603NI1948,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: Total"
DC6603NI1949,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1950,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1951,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: Total"
DC6603NI1952,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1953,Count,PERSONS,"Females, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1954,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, All usual residents aged 16 to 74"
DC6603NI1955,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: Total"
DC6603NI1956,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1957,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1958,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: Total"
DC6603NI1959,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1960,Count,PERSONS,"Females, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1961,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, All usual residents aged 16 to 74"
DC6603NI1962,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: Total"
DC6603NI1963,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 15 hours or less"
DC6603NI1964,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1965,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: Total"
DC6603NI1966,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1967,Count,PERSONS,"Females, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 49 or more hours"
DC6603NI1968,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, All usual residents aged 16 to 74"
DC6603NI1969,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: Total"
DC6603NI1970,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 15 hours or less"
DC6603NI1971,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1972,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: Total"
DC6603NI1973,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1974,Count,PERSONS,"Females, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 49 or more hours"
DC6603NI1975,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, All usual residents aged 16 to 74"
DC6603NI1976,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: Total"
DC6603NI1977,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 15 hours or less"
DC6603NI1978,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1979,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: Total"
DC6603NI1980,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1981,Count,PERSONS,"Females, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 49 or more hours"
DC6603NI1982,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, All usual residents aged 16 to 74"
DC6603NI1983,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: Total"
DC6603NI1984,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 15 hours or less"
DC6603NI1985,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1986,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: Total"
DC6603NI1987,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1988,Count,PERSONS,"Females, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 49 or more hours"
DC6603NI1989,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, All usual residents aged 16 to 74"
DC6603NI1990,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: Total"
DC6603NI1991,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1992,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1993,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: Total"
DC6603NI1994,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1995,Count,PERSONS,"Females, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1996,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, All usual residents aged 16 to 74"
DC6603NI1997,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: Total"
DC6603NI1998,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1999,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2000,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: Total"
DC6603NI2001,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2002,Count,PERSONS,"Females, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2003,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, All usual residents aged 16 to 74"
DC6603NI2004,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: Total"
DC6603NI2005,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI2006,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2007,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: Total"
DC6603NI2008,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2009,Count,PERSONS,"Females, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2010,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, All usual residents aged 16 to 74"
DC6603NI2011,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: Total"
DC6603NI2012,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI2013,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2014,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: Total"
DC6603NI2015,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2016,Count,PERSONS,"Females, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2017,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, All usual residents aged 16 to 74"
DC6603NI2018,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: Total"
DC6603NI2019,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI2020,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2021,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: Total"
DC6603NI2022,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2023,Count,PERSONS,"Females, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2024,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, All usual residents aged 16 to 74"
DC6603NI2025,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: Total"
DC6603NI2026,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI2027,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2028,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: Total"
DC6603NI2029,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2030,Count,PERSONS,"Females, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI2031,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, All usual residents aged 16 to 74"
DC6603NI2032,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: Total"
DC6603NI2033,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI2034,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2035,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: Total"
DC6603NI2036,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2037,Count,PERSONS,"Females, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2038,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, All usual residents aged 16 to 74"
DC6603NI2039,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: Total"
DC6603NI2040,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI2041,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI2042,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: Total"
DC6603NI2043,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI2044,Count,PERSONS,"Females, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI2045,Count,PERSONS,"Females, Aged 65 to 74, 33.Protective service occupations, All usual residents aged 16 to 74"
DC6603NI2046,Count,PERSONS,"Females, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: Total"
DC6603NI2047,Count,PERSONS,"Females, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI2048,Count,PERSONS,"Females, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: 16 to 30 hours"
